Issue Type,Category,Course Name,Assignee,Assignee Id,Status,Created,Updated
I've got a problem!,My Issue isn't listed here,Data Quality Level 2 Academy,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,6/1/2024 3:46,6/9/2024 6:00
I've got a problem!,My Issue isn't listed here,Les principes fondamentaux de DHIS2,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,6/1/2024 12:01,6/10/2024 6:04
I've got a problem!,I can't login to Trainingland,Les principes fondamentaux de DHIS2,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,6/1/2024 15:21,8/9/2024 10:19
I've got a problem!,I'm having an issue in Trainingland,Aggregate Data Capture and Validation Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,6/2/2024 13:02,6/9/2024 6:00
I've got a problem!,"I've finished the course, but it isn't reflected in my course grade",Les fondamentaux de DHIS2 ÃvÃ©nements,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,6/2/2024 19:28,6/9/2024 6:00
I've got a problem!,I'm having an issue with my certificate,DHIS2 Events Fundamentals,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,6/3/2024 1:06,7/25/2024 10:35
I've got a problem!,I can't login to Trainingland,Aggregate Data Analysis Fundamentals,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,6/3/2024 11:11,6/10/2024 1:06
I've got a problem!,I'd like to retake a module/the course,Aggregate Data Capture and Validation Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,6/3/2024 11:44,6/9/2024 6:00
I've got a problem!,I'd like to retake a module/the course,Aggregate Data Capture and Validation Fundamentals,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,6/3/2024 12:20,7/22/2024 10:45
I've got a problem!,I need my Trainingland Account to be created,Introduction Ã  DHIS2,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,6/3/2024 12:34,7/31/2024 14:08
I've got a problem!,My Issue isn't listed here,Aggregate Customization Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,6/3/2024 15:50,6/9/2024 6:00
I've got a problem!,I can't login to Trainingland,Aggregate Data Capture and Validation Fundamentals,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,6/3/2024 21:37,7/25/2024 10:35
I've got a problem!,My Issue isn't listed here,Data Quality Level 2 Academy,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,6/4/2024 12:39,7/9/2024 6:02
I've got a problem!,I can't login to Trainingland,Aggregate Data Analysis Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,6/4/2024 14:25,6/10/2024 6:04
I've got a problem!,I'd like to retake a module/the course,Introduction to DHIS2,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,6/4/2024 15:06,7/25/2024 10:37
I've got a problem!,I can't login to Trainingland,Les fondamentaux de DHIS2 ÃvÃ©nements,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,6/4/2024 15:54,7/31/2024 14:04
I've got a problem!,I'm having an issue with my certificate,Aggregate Data Capture and Validation Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,6/4/2024 17:54,6/16/2024 6:04
I've got a problem!,My Issue isn't listed here,Aggregate Data Analysis Fundamentals,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,6/5/2024 12:53,7/25/2024 10:37
I've got a problem!,I can't remember my DHIS2 Academy Username and/or Password,Les principes fondamentaux de DHIS2,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,6/5/2024 16:27,8/20/2024 10:24
I've got a problem!,I need my Trainingland Account to be created,Les principes fondamentaux de DHIS2,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,6/5/2024 16:32,6/11/2024 6:07
I've got a problem!,I'm having an issue with my certificate,Aggregate Data Capture and Validation Fundamentals,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,6/5/2024 19:47,7/22/2024 11:02
I've got a problem!,My Issue isn't listed here,DHIS2 Events Fundamentals,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,6/5/2024 20:29,8/6/2024 6:02
I've got a problem!,I can't remember my DHIS2 Academy Username and/or Password,Introduction to DHIS2,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,6/6/2024 12:36,6/12/2024 6:10
I've got a problem!,My Issue isn't listed here,Les principes fondamentaux de DHIS2,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,6/6/2024 12:53,6/19/2024 1:05
I've got a problem!,I can't remember my DHIS2 Academy Username and/or Password,Other,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,6/6/2024 16:07,8/6/2024 6:02
I've got a problem!,I'd like to retake a module/the course,Aggregate Data Capture and Validation Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,6/6/2024 17:02,6/6/2024 17:44
I've got a problem!,My Issue isn't listed here,DHIS2 Events Fundamentals,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,6/6/2024 17:11,6/13/2024 1:02
I've got a problem!,I can't enroll on a course,Introduction to DHIS2,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,6/8/2024 0:06,8/6/2024 6:02
I've got a problem!,I can't enroll on a course,Introduction to DHIS2,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,6/8/2024 6:39,6/14/2024 6:02
I've got a problem!,I can't remember my DHIS2 Academy Username and/or Password,Introduction to DHIS2,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,6/9/2024 10:01,7/25/2024 10:37
I've got a problem!,I can't enroll on a course,Introduction to DHIS2,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,6/9/2024 10:31,8/6/2024 6:02
I've got a problem!,"I've finished the course, but it isn't reflected in my course grade",DHIS2 Events Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,6/10/2024 0:33,6/17/2024 6:02
I've got a problem!,I can't login to Trainingland,Aggregate Data Analysis Fundamentals,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,6/10/2024 10:44,7/25/2024 10:37
I've got a problem!,I'm having an issue with a particular question or module in a course,DHIS2 Events Fundamentals,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,6/10/2024 12:30,8/6/2024 6:02
I've got a problem!,My Issue isn't listed here,DHIS2 Events Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,6/10/2024 16:22,6/19/2024 6:02
I've got a problem!,I'm having an issue in Trainingland,Introduction Ã  DHIS2,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,6/10/2024 16:55,7/31/2024 6:01
I've got a problem!,I can't enroll on a course,Aggregate Data Capture and Validation Fundamentals,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,6/10/2024 17:50,8/6/2024 6:02
I've got a problem!,I can't enroll on a course,Aggregate Data Analysis Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,6/10/2024 17:54,6/17/2024 6:02
I've got a problem!,I'm having an issue with my certificate,Les principes fondamentaux de DHIS2,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,6/10/2024 20:05,7/25/2024 10:27
I've got a problem!,I'm having an issue with my certificate,Other,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,6/11/2024 7:47,6/17/2024 1:02
I've got a problem!,My Issue isn't listed here,Aggregate Data Capture and Validation Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,6/11/2024 11:57,6/19/2024 17:09
Email request,,,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,6/11/2024 16:47,6/18/2024 4:32
I've got a problem!,I'm having an issue with my certificate,Introduction to DHIS2,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,6/11/2024 17:11,7/23/2024 22:05
I've got a problem!,I'm having an issue with my certificate,Introduction to DHIS2,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,6/11/2024 17:29,6/18/2024 1:06
I've got a problem!,I can't login to Trainingland,Introduction Ã  DHIS2,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,6/12/2024 10:49,6/19/2024 1:05
I've got a problem!,My Issue isn't listed here,Les principes fondamentaux de DHIS2,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,6/12/2024 17:55,7/1/2024 1:01
